Ticker,Year,Year_Int,COD_Year,Years_Since_COD,Pre_Post_COD,Revenue,EBIT,PAT,CapEx,Change_in_WC,Depreciation_Expense,Interest_Expense,Tax_Rate,Working_Capital,FCF,EBIT_Margin,Net_Profit_Margin,Debt_Ratio,Current_Ratio,ROA,ROE,Asset_Turnover,Interest_Burden,Revenue_Growth,EBIT_Growth,Revenue_Lag1,FCF_Lag1,Revenue_Growth_Lag1,Rolling3_Avg_Rev_Growth,Rolling3_Avg_Ebit_Margin,Installed_Capacity_MW,License_Issue_Year,License_Term_Years,PPA_Tariff_Wet,PPA_Tariff_Dry,PLF,GDP_Growth,Inflation,Interest_Rate,Total_IPP_Generation_GWh,Power_Import_From_India_GWh,National_Peak_Demand_MW,OperatingCashFlow_Proxy,Market_Cap,Total_Debt
HPPL,2017/18,2017,2022.0,-5.0,0,0.0,0.0,0.0,711099.5480000002,-94885.83298999997,0.0,0.0,0.0,375448.8760000001,-616213.7150100002,,,0.51861279437348,9.984489009217404,0.0,0.0,0.0,,,,0.0,-581966.7466299998,,,,27.0,2068.0,35.0,4.8,8.4,0.0,8.977279354213003,4.47,11.33,1623.0,2175.0,1444.0,0.0,3025784.28,1147805.511
HPPL,2018/19,2018,2022.0,-4.0,0,0.0,0.0,0.0,723868.4710000001,50174.43199999991,0.0,0.0,0.0,425623.308,-774042.903,,,0.6444475220011622,9.537328568256475,0.0,0.0,0.0,,,,0.0,-616213.7150100002,,,,27.0,2068.0,35.0,4.8,8.4,0.0,7.622376107681873,4.15,12.47,2019.0,2582.0,1508.0,0.0,1853825.58,1931065.5199999998
HPPL,2019/20,2019,2022.0,-3.0,0,0.0,0.0,0.0,709647.5469999998,-24036.803999999946,0.0,0.0,0.0,401586.504,-685610.7429999998,,,0.7130864586712157,5.846409093250314,0.0,0.0,0.0,,,,0.0,-774042.903,,,,27.0,2068.0,35.0,4.8,8.4,0.0,6.657055991898845,4.64,12.134092700177552,2033.0,2813.0,1320.0,0.0,1406350.44,2647956.008
HPPL,2020/21,2020,2022.0,-2.0,0,0.0,0.0,0.0,803239.0210000002,-361865.426,0.0,0.0,0.0,39721.07800000004,-441373.5950000002,,,0.759583868873778,1.1099463316474745,0.0,0.0,0.0,,,,0.0,-685610.7429999998,,,,27.0,2068.0,35.0,4.8,8.4,0.0,-2.3696213419770182,6.15,10.109165203675886,2836.0,1729.0,1408.0,0.0,4783722.33,3366136.719
HPPL,2021/22,2021,2022.0,-1.0,0,0.0,0.0,0.0,641679.6869999999,17168.475999999966,0.0,0.0,0.0,56889.554,-658848.163,,,0.7873075028187958,1.20392756821695,0.0,0.0,0.0,,,,0.0,-441373.5950000002,,,,27.0,2068.0,35.0,4.8,8.4,0.0,4.8381498272749335,3.6,8.434801897175857,3093.0,2806.0,1482.0,0.0,3430642.74,3943772.389
HPPL,2022/23,2022,2022.0,0.0,1,354373.196,344357.152,-219994.071,-4652554.103,-231818.69550000003,185848.153,378503.07,0.0,-174929.14150000003,5414578.1035,0.971735887157786,-0.6207977168792416,0.8122492784892035,0.6442685668489385,-0.0388017306955797,-0.2066662133978694,0.0625030177150723,1.0991584400140468,,,0.0,-658848.163,,,,27.0,2068.0,35.0,4.8,8.4,0.2497133406618185,5.63131455833327,6.32,11.620299693912472,4286.0,1543.0,1748.0,-34145.918000000005,3046027.2029999997,4605207.609
HPPL,2023/24,2023,2022.0,1.0,1,516060.516,447570.047,-262355.41,0.0,108031.1105,246540.306,463385.151,0.0,-66898.03100000002,586079.2424999999,0.8672820979778271,-0.5083810945924023,0.7938583491609463,0.7792973763779106,-0.0464477292738627,-0.2253194785469486,0.0913639979297469,1.0353354834757296,0.456262837666763,0.2997262998620688,354373.196,5414578.1035,,,,27.0,2068.0,35.0,4.8,8.4,0.363648258075427,1.952544632643292,7.74,12.2968211469067,5118.0,1833.0,1870.0,-15815.103999999965,3260176.02,4484030.456
HPPL,2024/25,2024,2022.0,2.0,1,744192.372,660473.549,72625.224,0.0,133563.46300000005,246687.969,341160.356,0.0,66665.43200000003,773598.0549999999,0.8875037877974917,0.097589315253019,0.7750567266367514,1.296583738715944,0.0132066360750492,0.0587109623991564,0.1353287093039694,0.5165390143428742,0.4420641551271091,0.4756875564552691,516060.516,586079.2424999999,0.456262837666763,,0.9088405909777016,27.0,2068.0,35.0,4.8,8.4,0.5244041180449857,3.7,5.44,9.934009948215072,6564.0,1895.0,2212.0,319313.193,5287558.0293000005,4262150.336
HURJA,2019/20,2019,2021.0,-2.0,0,0.0,5423.57046,4578.85846,598572.2820000001,-73925.50430000002,844.712,0.0,0.0,-23484.480200000005,-518378.4952400001,,,0.688707902265616,0.8444417181307323,0.0014518544186754,0.0046639616925618,0.0,0.0,,13.64897704012344,0.0,,,,,12.0,2069.0,36.0,4.8,8.4,0.0,6.657055991898845,4.64,12.134092700177552,2033.0,2813.0,1320.0,5423.570460000001,861300.0,2172046.9795
HURJA,2020/21,2020,2021.0,-1.0,0,0.0,663.55069,-43.11431,358192.727,-7681.983349999995,706.665,0.0,0.0,-31166.46355,-349140.52796,,,0.7173558375939016,0.7328063437363267,-1.2413043827108415e-05,-4.391756659340144e-05,0.0,0.0,,-0.8776542694717753,0.0,-518378.4952400001,,,,12.0,2069.0,36.0,4.8,8.4,0.0,-2.3696213419770182,6.15,10.109165203675886,2836.0,1729.0,1408.0,663.5506899999999,3564000.0,2491596.9357
HURJA,2021/22,2021,2021.0,0.0,1,18771.252,16242.73447,-18542.46198,386633.88100000005,-23918.70333,11283.03845,23502.158,0.0,-55085.16688,-335189.40475000005,0.8652984079058764,-0.987811680329048,0.7411977825160805,0.4400716937980175,-0.0049840951084199,-0.0192583168553695,0.0050455924015392,1.446933583960755,,23.478513419977,0.0,-349140.52796,,,,12.0,2069.0,36.0,4.8,8.4,0.0297616248097412,4.8381498272749335,3.6,8.434801897175857,3093.0,2806.0,1482.0,-7259.42353,2267100.0,2757497.88136
HURJA,2022/23,2022,2021.0,1.0,1,267877.0311,222679.6037,-49603.63192,283330.20699999994,123504.53305,137667.6866,134615.549,0.0,68419.36617,-46487.44974999994,0.8312754654088743,-0.1851731434991254,0.764893366543559,2.741698365966043,-0.0126141522778408,-0.0536528995540556,0.0681208518658671,0.6045257255862451,13.27060012299659,12.709489871381246,18771.252,-335189.40475000005,,,,12.0,2069.0,36.0,4.8,8.4,0.4247162466704718,5.63131455833327,6.32,11.620299693912472,4286.0,1543.0,1748.0,88064.05467999999,2712600.0,3007850.87863
HURJA,2023/24,2023,2021.0,2.0,1,275660.9,276770.721,-152371.181,-173170.56300000008,1978.7238300000167,136065.459,289834.8,0.0,70398.09000000001,584028.0191700001,1.004026037062202,-0.5527486161439653,0.8189667669384292,2.015719933253848,-0.0418389714433772,-0.2311121043126234,0.0756925846965487,1.0472018100498426,0.0290576197146751,0.2429100663070742,267877.0311,-46487.44974999994,13.27060012299659,,0.900199970125651,12.0,2069.0,36.0,4.8,8.4,0.4370574898528666,1.952544632643292,7.74,12.2968211469067,5118.0,1833.0,1870.0,-16305.722000000009,1930500.0,2982552.61
